"Birdcage, The ",Birdcage,1996,http://ia.media-imdb.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX214_.jpg,http://www.imdb.com/title/tt0115685/
Back to the Future ,Back to the Future,1985,http://ia.media-imdb.com/images/M/MV5BMTk4OTQ1OTMwN15BMl5BanBnXkFtZTcwOTIwMzM3MQ@@._V1_SX214_.jpg,http://www.imdb.com/title/tt0088763/
Nikita (La Femme Nikita) ,Nikita (La Femme Nikita),1990,"http://ia.media-imdb.com/images/M/MV5BMTcwMjgwNjE0MV5BMl5BanBnXkFtZTYwNTM3Njk5._V1_SY317_CR7,0,214,317_.jpg",http://www.imdb.com/title/tt0118379/
Diabolique ,Diabolique,1996,"http://ia.media-imdb.com/images/M/MV5BOTg1Mjk0OTYxNF5BMl5BanBnXkFtZTcwNTg3ODIyMQ@@._V1_SY317_CR10,0,214,317_.jpg",http://www.imdb.com/title/tt0116095/
Welcome to the Dollhouse ,Welcome to the Dollhouse,1995,"http://ia.media-imdb.com/images/M/MV5BMTcxMzk5NzY4OV5BMl5BanBnXkFtZTcwNzcxNTgxMQ@@._V1_SY317_CR5,0,214,317_.jpg",http://www.imdb.com/title/tt0114906/
"Sting, The ",Sting,1973,http://ia.media-imdb.com/images/M/MV5BMTY2OTM3Njk2MF5BMl5BanBnXkFtZTYwNzk4Njk4._V1_SX214_.jpg,http://www.imdb.com/title/tt0070735/
Grosse Pointe Blank ,Grosse Pointe Blank,1997,"http://ia.media-imdb.com/images/M/MV5BOTI4NDU3MDgxNl5BMl5BanBnXkFtZTYwNDUxNTQ5._V1_SY317_CR4,0,214,317_.jpg",http://www.imdb.com/title/tt0119229/
Kansas City ,Kansas City,1996,http://ia.media-imdb.com/images/M/MV5BMTczMjIyODA5OV5BMl5BanBnXkFtZTcwNTAzMzMzMQ@@._V1_SY288_SX200_.jpg,http://www.imdb.com/title/tt0116745/
Stargate ,Stargate,1994,http://ia.media-imdb.com/images/M/MV5BNjE0NDU2MjQyN15BMl5BanBnXkFtZTcwNTEwNDI4OA@@._V1_SX214_.jpg,http://www.imdb.com/title/tt0111282/
"Horseman on the Roof, The (Hussard sur le toit, Le) ",Horseman on the Roof,1995,static/images/nocover.png,http://www.imdb.com/title/tt0926289/
"Return of the Pink Panther, The ",Return of the Pink Panther,1974,http://ia.media-imdb.com/images/M/MV5BMTM2ODk5NDU2M15BMl5BanBnXkFtZTcwMDQ0MTMyNA@@._V1_SX214_.jpg,http://www.imdb.com/title/tt0072081/
Carlito's Way ,Carlito's Way,1993,http://ia.media-imdb.com/images/M/MV5BNjU1OTE5NDIyNl5BMl5BanBnXkFtZTYwMjg1NDg4._V1_SX214_.jpg,http://www.imdb.com/title/tt0106519/
"Wizard of Oz, The ",Wizard of Oz,1939,"http://ia.media-imdb.com/images/M/MV5BMTU0MTA2OTIwNF5BMl5BanBnXkFtZTcwMzA0Njk3OA@@._V1_SY317_CR10,0,214,317_.jpg",http://www.imdb.com/title/tt0032138/
Toy Story ,Toy Story,1995,"http://ia.media-imdb.com/images/M/MV5BMTgwMjI4MzU5N15BMl5BanBnXkFtZTcwMTMyNTk3OA@@._V1_SY317_CR12,0,214,317_.jpg",http://www.imdb.com/title/tt0114709/
I.Q. ,I.Q.,1994,"http://ia.media-imdb.com/images/M/MV5BMTIwMTc2ODg3NV5BMl5BanBnXkFtZTcwNjEyNTUxMQ@@._V1_SY317_CR5,0,214,317_.jpg",http://www.imdb.com/title/tt0110099/
Monty Python's Life of Brian ,Monty Python's Life of Brian,1979,"http://ia.media-imdb.com/images/M/MV5BMTM2NjQ4NDA0MV5BMl5BanBnXkFtZTcwMjM0Njk3OA@@._V1_SY317_CR4,0,214,317_.jpg",http://www.imdb.com/title/tt0079470/
Flipper ,Flipper,1996,"http://ia.media-imdb.com/images/M/MV5BMTU4MTMzOTg4Nl5BMl5BanBnXkFtZTcwMDEzNDQyMQ@@._V1_SY317_CR4,0,214,317_.jpg",http://www.imdb.com/title/tt0116322/
Terminator 2: Judgment Day ,Terminator 2: Judgment Day,1991,"http://ia.media-imdb.com/images/M/MV5BMTg5NzUwMDU5NF5BMl5BanBnXkFtZTcwMjk2MDA4Mg@@._V1_SY317_CR18,0,214,317_.jpg",http://www.imdb.com/title/tt0103064/
Star Trek III: The Search for Spock ,Star Trek III: The Search for Spock,1984,http://ia.media-imdb.com/images/M/MV5BMTc5NDY1OTU0Ml5BMl5BanBnXkFtZTcwNDIwNDI4OA@@._V1_SX214_.jpg,http://www.imdb.com/title/tt0088170/
